"","Fire_Mod","Kingdom","Phylum","Class","Order","Family","Genus","Abundance","Prevalence","Total_Abundance","Percentage"
"136","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Cryptosporiopsis",822,22,3547526,0.0231710775340336
"137","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Dermateaceae_gen_Incertae_sedis",64,2,3547526,0.00180407416323376
"138","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Pezicula",184,6,3547526,0.00518671321929705
"139","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Rhizodermea",45,3,3547526,0.00126848964602374
"140","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Trichosporiella",32,3,3547526,0.000902037081616879
"141","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Gelatinodiscaceae","Neobulgaria",43,1,3547526,0.00121211232842268
"142","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hamatocanthoscyphaceae","Curviclavula",6,1,3547526,0.000169131952803165
"143","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hamatocanthoscyphaceae","Hyalodendriella",18,2,3547526,0.000507395858409494
"144","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hamatocanthoscyphaceae","Xenopolyscytalum",816,12,3547526,0.0230019455812304
"145","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Ascocoryne",67,4,3547526,0.00188864013963534
"146","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Bryoglossum",23,1,3547526,0.000648339152412132
"147","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Crocicreas",20,1,3547526,0.000563773176010549
"148","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Cudoniella",27,1,3547526,0.000761093787614242
"149","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Cyathicula",161,9,3547526,0.00453837406688492
"150","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Helotium",4,1,3547526,0.00011275463520211
"151","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Hymenoscyphus",152,2,3547526,0.00428467613768017
"152","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Phaeohelotium",120,1,3547526,0.0033826390560633
"153","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Scytalidium",15,1,3547526,0.000422829882007912
"154","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Tetracladium",20,2,3547526,0.000563773176010549
"155","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Acidomelania",47,1,3547526,0.00132486696362479
"156","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Chalara",1258,12,3547526,0.0354613327710636
"157","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Humicolopsis",81,6,3547526,0.00228328136284272
"158","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Leohumicola",342,3,3547526,0.00964052130978039
"159","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Mycoarthris",658,6,3547526,0.0185481374907471
"160","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Xenochalara",70,2,3547526,0.00197320611603692
"161","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Arachnopeziza",228,3,3547526,0.00642701420652026
"162","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Gemmina",38,3,3547526,0.00107116903442004
"163","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Glutinomyces",14,1,3547526,0.000394641223207385
"164","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyalopeziza",68,4,3547526,0.00191682879843587
"165","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha",548,11,3547526,0.015447385022689
"166","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscyphaceae_gen_Incertae_sedis",42,1,3547526,0.00118392366962215
"167","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyphodiscus",445,11,3547526,0.0125439531662347
"168","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Lachnellula",26,1,3547526,0.000732905128813714
"169","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Pezizella",779,18,3547526,0.0219589652056109
"170","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Phialea",92,9,3547526,0.00259335660964853
"171","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Lachnaceae","Pezizellaster",12,1,3547526,0.00033826390560633
"172","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Leotiaceae","Flagellospora",1313,3,3547526,0.0370117090050926
"173","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Leotiaceae","Leotia",87,3,3547526,0.00245241331564589
"174","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Leptodontidiaceae","Leptodontidium",963,11,3547526,0.027145678424908
"175","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Loramycetaceae","Loramycetaceae_gen_Incertae_sedis",24,1,3547526,0.000676527811212659
"176","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Mollisiaceae","Mollisia",282,10,3547526,0.00794920178174875
"177","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Mollisiaceae","Phialocephala",341,12,3547526,0.00961233265097987
"178","Untreated","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",22647,44,3547526,0.638388555855546
